Trace
Swept SA
A.24.56,N9000B
359983781.803947,-69.6274228150817
359983847.561947,-69.877576148373
359983913.319947,-70.0667063395182
359983979.077947,-70.1001042333142
359984044.835947,-69.5885105352292
359984110.593947,-69.6102257651844
359984176.351947,-70.0517131761573
359984242.109947,-69.9693803896849
359984307.867947,-70.3617932549838
359984373.625947,-70.3179269111019
359984439.383947,-70.1567648964367
359984505.141947,-70.0564761106995
359984570.899947,-70.0575632555731
359984636.657947,-69.3331543933386
359984702.415947,-69.3546781430299
359984768.173947,-69.6222333359992
359984833.931947,-69.2211095437236
359984899.689947,-68.8149810440239
359984965.447947,-69.6563244523673
359985031.205947,-70.3863143920898
359985096.963947,-71.3207375975861
359985162.721947,-69.606314735851
359985228.479947,-69.0132287562579
359985294.237947,-69.3066199730183
359985359.995947,-68.9568712957974
359985425.753947,-69.238536922411
359985491.511947,-69.9993477744618
359985557.269947,-69.5998640827749
359985623.027947,-69.997953656076
359985688.785947,-69.5922615226658
359985754.543947,-69.318764127534
359985820.301947,-69.1502428602898
359985886.059947,-69.6405166976753
359985951.817947,-69.7069395218772
359986017.575947,-68.8684937049603
359986083.333947,-69.221171981987
359986149.091947,-69.9598949037749
359986214.849947,-69.5901885635552
359986280.607947,-69.9044002226029
359986346.365947,-69.8868709871139
359986412.123947,-69.5768988159881
359986477.881947,-69.3822747153798
359986543.639947,-68.3702364515984
359986609.397947,-68.9871153995908
359986675.155947,-69.7621749351765
359986740.913947,-69.3937465623878
359986806.671947,-68.9801729574971
359986872.429947,-69.1170444707761
359986938.187947,-69.6380217102752
359987003.945947,-69.1004956563314
359987069.703947,-69.6590670004658
359987135.461947,-69.4488728402675
359987201.219947,-69.3243026733398
359987266.977947,-69.2464212439526
359987332.735947,-69.0453542073568
359987398.493947,-68.9527863688852
359987464.251947,-69.4353822291583
359987530.009947,-69.4929972681506
359987595.767947,-68.8654486996004
359987661.525947,-68.6086830489937
359987727.283947,-68.8824257686221
359987793.041947,-68.7274184829887
359987858.799947,-69.271751096879
359987924.557947,-70.0077256389048
359987990.315947,-68.7733950998591
359988056.073947,-70.0861199039152
359988121.831947,-70.376625455659
359988187.589947,-70.6800375752065
359988253.347947,-70.0672181666582
359988319.105947,-69.7849355237237
359988384.863947,-68.7323116872503
359988450.621947,-69.5398635864258
359988516.379947,-69.7670347279516
359988582.137947,-69.3422582341337
359988647.895947,-69.2686579035617
359988713.653947,-68.864466875449
359988779.411947,-69.2925571134721
359988845.169947,-68.7696743669181
359988910.927947,-69.2976592929884
359988976.685947,-69.5897405777854
359989042.443947,-69.306190622264
359989108.201947,-70.4134381612142
359989173.959947,-69.6006691154392
359989239.717947,-68.7331486405998
359989305.475947,-69.7225135715529
359989371.233947,-69.742769920963
359989436.991947,-68.4063823743798
359989502.749947,-68.2417480644139
359989568.507947,-69.1317404385271
359989634.265947,-69.2117418749579
359989700.023947,-69.9234779182522
359989765.781947,-70.5376413279566
359989831.539947,-70.2325147431472
359989897.297947,-70.4082477613427
359989963.055947,-69.8493364268336
359990028.813947,-69.6557767144565
359990094.571947,-69.2573267180344
359990160.329947,-69.1376554116435
359990226.087947,-69.6749058865953
359990291.845947,-69.7235439344384
359990357.603947,-69.8828007489786
359990423.361947,-69.7245779366329
359990489.119947,-69.9748904787261
359990554.877947,-68.8980596695823
359990620.635947,-68.2715864948843
359990686.393947,-69.351240793864
359990752.151947,-69.2716445922851
359990817.909947,-69.6546436178273
359990883.667947,-70.1362380981445
359990949.425947,-70.4089901365083
359991015.183947,-70.1448229647231
359991080.941947,-70.208253356232
359991146.699947,-69.9828725792896
359991212.457947,-69.4107344177948
359991278.215947,-69.5034946573192
359991343.973947,-69.0718381158237
359991409.731947,-69.5899716958232
359991475.489947,-69.0902309198489
359991541.247947,-69.9948142479206
359991607.005947,-69.6398462755926
359991672.763947,-69.1764853028045
359991738.521947,-69.0742691741592
359991804.279947,-69.6677183830875
359991870.037947,-69.699093215767
359991935.795947,-69.4608795779875
359992001.553947,-69.409015392435
359992067.311947,-69.7960612856108
359992133.069947,-69.0320030738568
359992198.827947,-69.3700278709675
359992264.585947,-69.907661788765
359992330.343947,-69.3264181202856
359992396.101947,-68.8946445508935
359992461.859947,-69.2870787258806
359992527.617947,-69.8421778624085
359992593.375947,-70.3206200873715
359992659.133947,-70.0156104866116
359992724.891947,-70.1022259942416
359992790.649947,-69.8826062432651
359992856.407947,-70.4085786753687
359992922.165947,-70.2549133300781
359992987.923947,-69.031402763279
359993053.681947,-69.5198663733471
359993119.439947,-69.4874913445834
359993185.197947,-69.1431418232534
359993250.955947,-68.9667709613668
359993316.713947,-69.9173181029572
359993382.471947,-69.6905842485099
359993448.229947,-69.2682573603487
359993513.987947,-69.3407085462548
359993579.745947,-68.9776365784393
359993645.503947,-69.5547698886915
359993711.261947,-69.2497819922436
359993777.019947,-69.2283232239472
359993842.777947,-68.5168758260793
359993908.535947,-68.6938008275525
359993974.293947,-68.6104348719805
359994040.051947,-69.1882605278629
359994105.809947,-69.4995969575027
359994171.567947,-68.8076919906441
359994237.325947,-69.7263851385007
359994303.083947,-69.8649924267298
359994368.841947,-69.9559425704781
359994434.599947,-69.0069619540511
359994500.357947,-69.4398652876931
359994566.115947,-69.0499130775189
359994631.873947,-69.0979763776407
359994697.631947,-68.6262659094799
359994763.389947,-68.1737570927061
359994829.147947,-68.7917962786795
359994894.905947,-68.8425109687893
359994960.663947,-68.0603173354576
359995026.421947,-68.1702871651485
359995092.179947,-68.5952778958726
359995157.937947,-68.319694080572
359995223.695947,-68.4443184425091
359995289.453947,-68.434509891203
359995355.211947,-68.6997011557393
359995420.969947,-68.7094567397545
359995486.727947,-67.9479442903365
